US	46718438	R3VN2V5ZXLJFFQ	B00IQCRKT8	575580052	Batman: Arkham Knight	Video Games	5	0	1	N	Y	Five Stars	Best game ever	2015-08-17
US	36483815	RIM6LW35J089P	B00GMFKYK8	198057869	Middle Earth: Shadow of Mordor	Video Games	4	0	0	N	Y	Assassin's Creed: Lord of the Rings	Really the entire game can be summed up as &#34;Assassin's Creed: Lord of the Rings&#34;.  The developers did what they set out to do, and they did it very competently - the game is smooth, design decisions make sense, the engine is well-optimized, and the new features compared to AC (like the nemesis system) really scream &#34;why hadn't anyone thought of this before?!&#34;.  Bonus points for being in the Lord of the Rings universe!  Really looking forward to the inevitable sequel, which they'd have to be crazy to not make.	2015-08-17
US	49436384	R29SXWDKDGFXCV	B0050SXKU4	277576962	Grand Theft Auto V	Video Games	5	0	0	N	Y	Five Stars	wow what a really cool game	2015-08-17
US	13558430	R1OWK0A56EYKI	B00KSY5486	205919589	Wii Sports Club - Wii U	Video Games	5	0	0	N	Y	Great game!	Great game!  Fun for the whole family!	2015-08-17
US	3203202	R1C88TYLVGF1JI	B0002OOV04	712645995	Incredibles	Video Games	1	0	1	N	Y	Bad	Game was labeled as &#34;good&#34; when there is a deep scratch in the center of the disc, making the game freeze.	2015-08-17
US	2193089	R2FBFUJEVEXLWX	B00KAED6SY	182165422	Far Cry 4	Video Games	5	0	0	N	Y	Five Stars	Perfect game, lots of fun, and lots to do.	2015-08-17
US	6337103	R204QU8VLME9FO	B00D2EGWDA	645123540	Call of Duty: Black Ops II	Video Games	5	0	1	N	Y	Five Stars	got it for my boyfriend and he loves it	2015-08-17
US	10566469	R1COTOTXTJK37Z	B004IK24MU	220554354	Insten Dual Charging Station w/ 2 Rechargeable Batteries & LED Light for Wii Remote Control, Black - (Original Wii Controllers Not Included) Retail Packaging	Video Games	1	0	0	N	Y	One Star	Cheap	2015-08-17
US	29297813	RTQNVFTKEYUNM	B00GV4V8XC	273650657	Bravely Default - Nintendo 3DS	Video Games	5	0	0	N	Y	Feels like Alexandria	If you miss the old SquareSoft's Final Fantasy games, get this.	2015-08-17
US	18423987	R1LFHZS7QPXMNP	B005EQE0YM	911564750	Turtle Beach Ear Force X12 Arctic Amplified Stereo Gaming Headset - Xbox 360	Video Games	5	0	0	N	Y	Five Stars	My son says these work great.	2015-08-17
